sample_id,metric,page,value,numeric_presence,scope,unit
000628.SZ:2023,current_liabilities,76,10870496225.01,True,consolidated,CNY yuan
000628.SZ:2023,liabilities,76,11702037226.53,True,consolidated,CNY yuan
000628.SZ:2023,equity,77,1975833840.01,True,consolidated,CNY yuan
000628.SZ:2023,revenue,79,6570599836.21,True,consolidated,CNY yuan
000628.SZ:2023,management_expense,79,131297667.19,True,consolidated,CNY yuan
000628.SZ:2023,operating_profit,80,259948517.15,True,consolidated,CNY yuan
000628.SZ:2023,net_profit,80,191870172.98,True,consolidated,CNY yuan
000628.SZ:2023,ocf,83,139660008.16,True,consolidated,CNY yuan
000629.SZ:2023,receivables,76,193464675.90,True,consolidated,CNY yuan
000629.SZ:2023,inventory,76,985026208.74,True,consolidated,CNY yuan
000629.SZ:2023,current_assets,76,3992225343.05,True,consolidated,CNY yuan
000629.SZ:2023,assets,77,11932995831.05,True,consolidated,CNY yuan
000629.SZ:2023,current_liabilities,77,2173762615.65,True,consolidated,CNY yuan
000629.SZ:2023,liabilities,77,2762015146.87,True,consolidated,CNY yuan
000629.SZ:2023,equity,78,9170980684.18,True,consolidated,CNY yuan
000629.SZ:2023,revenue,80,15087546372.12,True,consolidated,CNY yuan
000629.SZ:2023,management_expense,80,197772011.43,True,consolidated,CNY yuan
000629.SZ:2023,operating_profit,81,1470297172.58,True,consolidated,CNY yuan
000629.SZ:2023,net_profit,81,1365718140.75,True,consolidated,CNY yuan
000629.SZ:2023,ocf,83,1959892807.55,True,consolidated,CNY yuan
000633.SZ:2023,receivables,56,63184077.90,True,consolidated,CNY yuan
000633.SZ:2023,inventory,57,48755616.36,True,consolidated,CNY yuan
000633.SZ:2023,current_assets,57,148417952.40,True,consolidated,CNY yuan
000633.SZ:2023,assets,57,256737667.43,True,consolidated,CNY yuan
000633.SZ:2023,current_liabilities,58,48686780.12,True,consolidated,CNY yuan
000633.SZ:2023,liabilities,58,82928804.60,True,consolidated,CNY yuan
000633.SZ:2023,equity,58,173808862.83,True,consolidated,CNY yuan
000633.SZ:2023,revenue,61,229320855.55,True,consolidated,CNY yuan
000633.SZ:2023,management_expense,61,14099109.63,True,consolidated,CNY yuan
