sample_id,industry_prior_code,industry_public_date,industry_source_url,industry_source_page,requirements,label,document_id,report_url,report_disclosed_date,mda_page,original_classification_row,annual_pdf_sha256,original_classification_row_found,annual_pdf_matches_archive,status,exact_2023_code_certified
002297.SZ:2023,C30,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,30,historical_industry,0,1216413953,https://static.cninfo.com.cn/finalpage/2023-04-15/1216413953.PDF,2023-04-15,10,002297 博云新材,9cc3730d9f1686f4fbfdd5ab7f9f4afa1c8e7fdeaa562f62fba31e5ef2278e82,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002308.SZ:2023,C39,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,61,historical_industry,0,1216584421,https://static.cninfo.com.cn/finalpage/2023-04-26/1216584421.PDF,2023-04-26,10,002308 威创股份,7925f256cd8e8e11e999c3ed31094476aa47f3bfcfd03991869965ae63f4e4a1,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002310.SZ:2023,N77,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,103,historical_industry,1,1216591739,https://static.cninfo.com.cn/finalpage/2023-04-26/1216591739.PDF,2023-04-26,10,002310 东方园林,86e334444f7d281670ddfd90b70a454cb381b6511665c07fcf7bbe0113818226,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002316.SZ:2023,I65,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,88,historical_industry,0,1216276462,https://static.cninfo.com.cn/finalpage/2023-03-31/1216276462.PDF,2023-03-31,10,002316 亚联发展,fbb4b04db42b83db6b7f81805ab63ef2d19ca5db6033ace101d3dfbcda291eaa,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002320.SZ:2023,G55,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,84,historical_industry,0,1216220188,https://static.cninfo.com.cn/finalpage/2023-03-27/1216220188.PDF,2023-03-27,10,002320 海峡股份,38d0a636cb4da8a61e2576d6d2ed3886737e6b97dd24b4ca2f22aa88fae1b440,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002325.SZ:2023,E50,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,78,historical_industry,0,1216704120,https://static.cninfo.com.cn/finalpage/2023-04-29/1216704120.PDF,2023-04-29,11,002325 洪涛股份,a389196323415c9260af3f497371a9920c7bc4ab74aecac68bb54f77a3b40956,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002332.SZ:2023,C27,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,21,historical_industry,0,1216585342,https://static.cninfo.com.cn/finalpage/2023-04-26/1216585342.PDF,2023-04-26,12,002332 仙琚制药,1bbb6a9730967b8ac94161cfe595462b7322c9f85fb5d452e5a6cc6da8e2ca40,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002340.SZ:2023,C42,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,73,historical_industry,0,1216702668,https://static.cninfo.com.cn/finalpage/2023-04-29/1216702668.PDF,2023-04-29,12,制造业(C) 42 废弃资源综合利用业 002340 格林美,84fd5fdc54d257d11494ea72cc9c76780f969ec6692e4897837ae767680e8be6,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002346.SZ:2023,C38,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,54,historical_industry,0,1216685212,https://static.cninfo.com.cn/finalpage/2023-04-29/1216685212.PDF,2023-04-29,10,002346 柘中股份,ac1abd84530e1413259c2a9a9e872f4f666bb547080918e13112479c06b6f405,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002350.SZ:2023,C38,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,54,historical_industry,0,1216580229,https://static.cninfo.com.cn/finalpage/2023-04-26/1216580229.PDF,2023-04-26,11,002350 北京科锐,0fdf81b8857e791e30068da8f5f2e270fb5a07c0bc566b134c3c0b7b5d2743bf,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002360.SZ:2023,C26,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,14,historical_industry,0,1216561409,https://static.cninfo.com.cn/finalpage/2023-04-25/1216561409.PDF,2023-04-25,10,002360 同德化工,580d0ee81ff02b4919806b4737517ae6b2f9c17877dcb692a89f3ae9bac0238c,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002364.SZ:2023,C38,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,54,historical_industry,0,1216685389,https://static.cninfo.com.cn/finalpage/2023-04-29/1216685389.PDF,2023-04-29,11,002364 中恒电气,26df341e6f670fec1686972e001fcf0eedbca2ce87d8e354e991c65bccbdb243,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002365.SZ:2023,C27,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,21,historical_industry,0,1216258461,https://static.cninfo.com.cn/finalpage/2023-03-30/1216258461.PDF,2023-03-30,10,002365 永安药业,32696268b1f45294d159ceb71adbec1beb04128f9bb6573bbfac300d56aed6ca,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002374.SZ:2023,C33,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,35,historical_industry,0,1216689440,https://static.cninfo.com.cn/finalpage/2023-04-29/1216689440.PDF,2023-04-29,10,002374 中锐股份,abee89956a341c8b167a14a921d7c89be96dd91399aeaaa9d4f3303d8b75b1c6,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002378.SZ:2023,C32,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,33,historical_industry,0,1216437721,https://static.cninfo.com.cn/finalpage/2023-04-18/1216437721.PDF,2023-04-18,10,002378 章源钨业,596353aee9e90db28a9726d296ec4cc028a73fd15d824dd6d9da12ed175571ef,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002380.SZ:2023,I65,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,88,historical_industry,0,1216593556,https://static.cninfo.com.cn/finalpage/2023-04-26/1216593556.PDF,2023-04-26,10,002380 科远智慧,eccfe0b52a5462588d86da01918900516e94f005c442e3010c6c90532c03c85c,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002382.SZ:2023,C35,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,41,historical_industry,0,1216691745,https://static.cninfo.com.cn/finalpage/2023-04-29/1216691745.PDF,2023-04-29,10,002382 蓝帆医疗,f1b734778ae81f8f55c091d972ed76c62542ef58bc96e4cce9e5088858c5d8a1,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002384.SZ:2023,C39,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,61,historical_industry,0,1216496394,https://static.cninfo.com.cn/finalpage/2023-04-21/1216496394.PDF,2023-04-21,11,002384 东山精密,2038e7a0c122fb2f6d81c7d9fcde82b594128260e2467efe7fdbe9a8a4efb5de,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002391.SZ:2023,C26,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,14,historical_industry,0,1216383287,https://static.cninfo.com.cn/finalpage/2023-04-12/1216383287.PDF,2023-04-12,10,002391 长青股份,02d11a221af0dd63959d163c391abcb8dadc02a506c973324c49dfad87322e9c,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002396.SZ:2023,C39,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,61,historical_industry,0,1216273286,https://static.cninfo.com.cn/finalpage/2023-03-31/1216273286.PDF,2023-03-31,11,002396 星网锐捷,c014c6b5d9266c9233bfc4690cfdd58219a4b549a412719ac19fb75bb48d93ef,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002402.SZ:2023,C39,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,61,historical_industry,0,1216246546,https://static.cninfo.com.cn/finalpage/2023-03-29/1216246546.PDF,2023-03-29,11,002402 和而泰,215bb2da3648b0902d531bb3e1d5d10c316f65c106b0d4caf857edd0656a9cb0,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002405.SZ:2023,I65,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,88,historical_industry,0,1216525087,https://static.cninfo.com.cn/finalpage/2023-04-22/1216525087.PDF,2023-04-22,11,002405 四维图新,ba2276f21300bfed2ddd70e7ca4be3a243ef60935dfb1cc6eda57f682a085417,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002410.SZ:2023,I65,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,88,historical_industry,0,1216220214,https://static.cninfo.com.cn/finalpage/2023-03-25/1216220214.PDF,2023-03-25,9,002410 广联达,ae7961626d15394c53fea2602d6d2b9027532fe791ccf236ddf14415d305c7b5,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002413.SZ:2023,C39,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,61,historical_industry,0,1216412717,https://static.cninfo.com.cn/finalpage/2023-04-17/1216412717.PDF,2023-04-17,10,002413 雷科防务,1c568ddbef8542674323602749b4e1b6401dd64aa8221319bd7512c9d6a9c7df,True,True,source_chain_recovered; current_sector_adjudication_pending,False
002426.SZ:2023,C39,2021-11-10,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,61,historical_industry,0,1216382212,https://static.cninfo.com.cn/finalpage/2023-04-12/1216382212.PDF,2023-04-12,10,002426 胜利精密,67a19b034cf3e9870f26ac9850fcdcb9c970de7443f11146932e457edbe67e93,True,True,source_chain_recovered; current_sector_adjudication_pending,False
