model,seed,point,recall,precision,false_positive_rate
financial_only,17,171,1.0,0.06432748538011696,0.7804878048780488
financial_only,17,172,1.0,0.06395348837209303,0.7853658536585366
financial_only,17,173,1.0,0.06358381502890173,0.7902439024390244
financial_only,17,174,1.0,0.06321839080459771,0.7951219512195122
financial_only,17,175,1.0,0.06285714285714286,0.8
financial_only,17,176,1.0,0.0625,0.8048780487804879
financial_only,17,177,1.0,0.062146892655367235,0.8097560975609757
financial_only,17,178,1.0,0.06179775280898876,0.8146341463414634
financial_only,17,179,1.0,0.061452513966480445,0.8195121951219512
financial_only,17,180,1.0,0.06111111111111111,0.824390243902439
financial_only,17,181,1.0,0.06077348066298342,0.8292682926829268
financial_only,17,182,1.0,0.06043956043956044,0.8341463414634146
financial_only,17,183,1.0,0.060109289617486336,0.8390243902439024
financial_only,17,184,1.0,0.059782608695652176,0.8439024390243902
financial_only,17,185,1.0,0.05945945945945946,0.848780487804878
financial_only,17,186,1.0,0.05913978494623656,0.8536585365853658
financial_only,17,187,1.0,0.058823529411764705,0.8585365853658536
financial_only,17,188,1.0,0.05851063829787234,0.8634146341463415
financial_only,17,189,1.0,0.0582010582010582,0.8682926829268293
financial_only,17,190,1.0,0.05789473684210526,0.8731707317073171
financial_only,17,191,1.0,0.05759162303664921,0.8780487804878049
financial_only,17,192,1.0,0.057291666666666664,0.8829268292682927
financial_only,17,193,1.0,0.05699481865284974,0.8878048780487805
financial_only,17,194,1.0,0.05670103092783505,0.8926829268292683
financial_only,17,195,1.0,0.05641025641025641,0.8975609756097561
financial_only,17,196,1.0,0.05612244897959184,0.9024390243902439
financial_only,17,197,1.0,0.05583756345177665,0.9073170731707317
financial_only,17,198,1.0,0.05555555555555555,0.9121951219512195
financial_only,17,199,1.0,0.05527638190954774,0.9170731707317074
financial_only,17,200,1.0,0.055,0.9219512195121952
financial_only,17,201,1.0,0.05472636815920398,0.926829268292683
financial_only,17,202,1.0,0.054455445544554455,0.9317073170731708
financial_only,17,203,1.0,0.054187192118226604,0.9365853658536586
financial_only,17,204,1.0,0.05392156862745098,0.9414634146341463
financial_only,17,205,1.0,0.05365853658536585,0.9463414634146341
financial_only,17,206,1.0,0.05339805825242718,0.9512195121951219
financial_only,17,207,1.0,0.05314009661835749,0.9560975609756097
financial_only,17,208,1.0,0.052884615384615384,0.9609756097560975
financial_only,17,209,1.0,0.05263157894736842,0.9658536585365853
financial_only,17,210,1.0,0.05238095238095238,0.9707317073170731
financial_only,17,211,1.0,0.052132701421800945,0.975609756097561
financial_only,17,212,1.0,0.05188679245283019,0.9804878048780488
financial_only,17,213,1.0,0.051643192488262914,0.9853658536585366
financial_only,17,214,1.0,0.0514018691588785,0.9902439024390244
financial_only,17,215,1.0,0.05116279069767442,0.9951219512195122
