sample_id,firm_id,origin,industry_status,industry_code,industry_public_date,industry_source_page,industry_source_url,baseline_st_name_evidence,baseline_st,st_source_url,st_source_public_date,baseline_quarter,baseline_audit,baseline_status,available_financial_facts,annual_missing,quarterly_missing,completeness_status,screening_status,analytical_eligible
000068.SZ:2021,000068.SZ,2021-05-01,pass_preorigin_classification,M74,2021-04-14,96,https://www.csrc.gov.cn/csrc/c100103/c29a6845e0d0b4912adcc1cdfa5f679eb/29a6845e0d0b4912adcc1cdfa5f679eb/files/1629362473789_90940.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000068.SZ:2022,000068.SZ,2022-05-01,pass_preorigin_classification,M74,2021-11-10,102,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000068.SZ:2023,000068.SZ,2023-05-01,pending,,,,,0,,,,,,pending,0,,,pending_source_review,pending,0
000068.SZ:2024,000068.SZ,2024-05-01,pass_preorigin_classification,M74,2024-04-03,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2023xiaban/2023xiabangupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000068.SZ:2025,000068.SZ,2025-05-01,pass_preorigin_classification,F51,2025-04-18,1,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2024xiaban/hangyefenleigupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000099.SZ:2017,000099.SZ,2017-05-01,pass_preorigin_classification,G56,2017-02-16,56,https://www.csrc.gov.cn/csrc/c100103/c1452008/1452008/files/1616066692059_33259.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000099.SZ:2018,000099.SZ,2018-05-01,pass_preorigin_classification,G56,2018-01-19,66,https://www.csrc.gov.cn/csrc/c100103/c1452004/1452004/files/1616066687576_64273.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000099.SZ:2019,000099.SZ,2019-05-01,pass_preorigin_classification,G56,2019-04-19,68,https://www.csrc.gov.cn/csrc/c100103/c1451999/1451999/files/1616066680642_59642.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000099.SZ:2020,000099.SZ,2020-05-01,pass_preorigin_classification,G56,2020-04-14,71,https://www.csrc.gov.cn/csrc/c100103/c1451995/1451995/files/1616066675411_69786.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000099.SZ:2021,000099.SZ,2021-05-01,pass_preorigin_classification,G56,2021-04-14,79,https://www.csrc.gov.cn/csrc/c100103/c29a6845e0d0b4912adcc1cdfa5f679eb/29a6845e0d0b4912adcc1cdfa5f679eb/files/1629362473789_90940.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000099.SZ:2022,000099.SZ,2022-05-01,pass_preorigin_classification,G56,2021-11-10,84,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000099.SZ:2023,000099.SZ,2023-05-01,pending,,,,,0,,,,,,pending,0,,,pending_source_review,pending,0
000099.SZ:2024,000099.SZ,2024-05-01,pass_preorigin_classification,G56,2024-04-03,2,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2023xiaban/2023xiabangupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000099.SZ:2025,000099.SZ,2025-05-01,pass_preorigin_classification,G56,2025-04-18,2,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2024xiaban/hangyefenleigupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000166.SZ:2018,000166.SZ,2018-05-01,exclude_financial,J67,2018-01-19,74,https://www.csrc.gov.cn/csrc/c100103/c1452004/1452004/files/1616066687576_64273.pdf,0,,,,,,pending,0,,,pending_source_review,excluded,0
000166.SZ:2019,000166.SZ,2019-05-01,exclude_financial,J67,2019-04-19,76,https://www.csrc.gov.cn/csrc/c100103/c1451999/1451999/files/1616066680642_59642.pdf,0,,,,,,pending,0,,,pending_source_review,excluded,0
000166.SZ:2020,000166.SZ,2020-05-01,exclude_financial,J67,2020-04-14,80,https://www.csrc.gov.cn/csrc/c100103/c1451995/1451995/files/1616066675411_69786.pdf,0,,,,,,pending,0,,,pending_source_review,excluded,0
000166.SZ:2021,000166.SZ,2021-05-01,exclude_financial,J67,2021-04-14,89,https://www.csrc.gov.cn/csrc/c100103/c29a6845e0d0b4912adcc1cdfa5f679eb/29a6845e0d0b4912adcc1cdfa5f679eb/files/1629362473789_90940.pdf,0,,,,,,pending,0,,,pending_source_review,excluded,0
000166.SZ:2022,000166.SZ,2022-05-01,exclude_financial,J67,2021-11-10,95,https://www.csrc.gov.cn/csrc/c100103/c1558619/1558619/files/1638277734844_11692.pdf,0,,,,,,pending,0,,,pending_source_review,excluded,0
000166.SZ:2023,000166.SZ,2023-05-01,pending,,,,,0,,,,,,pending,0,,,pending_source_review,pending,0
000166.SZ:2024,000166.SZ,2024-05-01,exclude_financial,J67,2024-04-03,2,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2023xiaban/2023xiabangupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,excluded,0
000166.SZ:2025,000166.SZ,2025-05-01,exclude_financial,J67,2025-04-18,2,https://sp.capco.org.cn:82/file/202603/hangyefenlei/2024xiaban/hangyefenleigupiaodaima.pdf,0,,,,,,pending,0,,,pending_source_review,excluded,0
000407.SZ:2017,000407.SZ,2017-05-01,pass_preorigin_classification,D45,2017-02-16,48,https://www.csrc.gov.cn/csrc/c100103/c1452008/1452008/files/1616066692059_33259.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000407.SZ:2018,000407.SZ,2018-05-01,pass_preorigin_classification,D45,2018-01-19,57,https://www.csrc.gov.cn/csrc/c100103/c1452004/1452004/files/1616066687576_64273.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000407.SZ:2019,000407.SZ,2019-05-01,pass_preorigin_classification,D45,2019-04-19,59,https://www.csrc.gov.cn/csrc/c100103/c1451999/1451999/files/1616066680642_59642.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
000407.SZ:2020,000407.SZ,2020-05-01,pass_preorigin_classification,D45,2020-04-14,62,https://www.csrc.gov.cn/csrc/c100103/c1451995/1451995/files/1616066675411_69786.pdf,0,,,,,,pending,0,,,pending_source_review,pending,0
